n,m,k,val,t_sol,t
500,2,10,579.413,1303.22231,1800.12774
500,2,10,583.31,1624.125369,1800.219498
500,5,10,13324.217,1039.880601,1800.933517
500,5,10,13394.609,804.76034,1800.325373
500,5,10,13416.347,1583.509446,1800.005784
500,5,10,13480.863,1721.298675,1800.513981
500,5,10,13659.843,1057.555087,1800.17268
500,5,10,14030.583,1710.090571,1800.294405
500,5,10,14174.302,1069.355333,1800.258802
500,5,10,14597.607,1428.200575,1800.460853
500,5,10,14639.781,1000.872545,1800.241193
500,5,10,14649.902,1591.720502,1800.358258
500,10,10,47319.921,1599.68974,1800.802212
500,10,10,47343.28,1150.728062,1801.678546
500,10,10,47875.182,1459.231907,1800.176616
500,10,10,48918.016,1643.514268,1800.69053
500,10,10,48996.54,1351.998791,1801.03201
500,10,10,49410.588,1736.657892,1800.001038
500,10,10,50578.428,689.036705,1800.360264
500,10,10,50627.892,1444.687985,1800.378577
500,10,10,51126.352,976.813985,1801.287918
500,10,10,52397.873,799.423452,1800.296386
500,20,10,99746.552,1568.685283,1800.516415
500,20,10,103449.953,280.973002,1800.232892
500,20,10,103456.807,1067.442115,1800.456317
500,20,10,103641.203,1759.707637,1800.63404
500,20,10,105375.04,1155.318376,1800.583134
500,20,10,105999.974,1550.479426,1800.289091
500,20,10,106981.342,835.147733,1800.842252
500,20,10,107179.594,1136.204835,1802.675146
500,20,10,109829.886,1711.122747,1802.120866
500,20,10,109905.745,1641.206846,1800.715952
500,2,20,1109.041,1096.000452,1800.585178
500,2,20,1109.733,1573.166414,1802.12413
500,2,20,1165.754,1511.145777,1800.213236
500,2,20,1199.441,1505.029058,1801.589404
500,2,20,1211.606,1580.99678,1800.534027
500,2,20,1212.398,1553.263952,1800.794368
500,2,20,1255.034,1496.539777,1802.083052
500,2,20,1263.848,1595.732722,1802.264946
500,2,20,1349.721,1497.560301,1800.924843
500,2,20,1354.002,1593.441339,1800.997795
500,5,20,19862.108,456.549717,1800.590568
500,5,20,19987.431,1150.101675,1802.670107
500,5,20,20091.13,1463.153824,1804.756058
500,5,20,20209.292,1706.473945,1800.597322
500,5,20,20723.479,1130.092335,1801.253125
500,5,20,21039.777,582.002636,1803.584178
500,5,20,21326.86,670.677411,1800.795866
500,5,20,21621.533,1674.163178,1804.217079
500,5,20,21827.318,835.536496,1801.446791
500,5,20,22914.818,1487.18396,1801.060504
500,10,20,62061.185,1128.603552,1803.21923
500,10,20,62179.699,850.324031,1806.376897
500,10,20,62533.775,1673.202856,1806.449013
500,10,20,63001.353,730.800071,1802.512299
500,10,20,63603.789,864.158182,1802.696971
500,10,20,63727.06,870.875925,1803.300453
500,10,20,64003.59,1164.182054,1801.70669
500,10,20,64313.184,1258.627799,1807.223615
500,10,20,64388.73,1299.40445,1800.840646
500,10,20,64997.631,991.178383,1806.688144
500,20,20,126188.1,713.489304,1802.325746
500,20,20,126892.851,1453.776424,1806.277976
500,20,20,127502.437,1083.137497,1802.979758
